timestamp,skinId,source,price,volume
2026-01-28T16:48:36.592692+00:00,Desert-Eagle-Blue-Ply-Minimal-Wear,steam,0.94,205
2026-01-28T16:30:00+00:00,Recoil-Case,steam,0.36,89942
2026-01-28T16:30:00+00:00,Revolution-Case,steam,0.36,90221
2026-01-28T16:30:00+00:00,Revolver-Case,steam,3.76,1634
2026-01-28T16:30:00+00:00,Clutch-Case,steam,1.08,6825
2026-01-28T16:30:00+00:00,AWP-Atheris-Minimal-Wear,steam,11.57,169
2026-01-28T16:30:00+00:00,AK-47-Elite-Build-Field-Tested,steam,2.99,499
2026-01-28T16:30:00+00:00,MP7-Abyssal-Apparition-Field-Tested,steam,10.09,276
2026-01-28T16:30:00+00:00,M4A1-S-Glitched-Paint-Factory-New,steam,28.48,52
2026-01-28T16:30:00+00:00,AK-47-Slate-Battle-Scarred,steam,5.48,303
2026-01-28T16:30:00+00:00,Sticker-From-The-Deep,steam,0.53,571
2026-01-28T16:30:00+00:00,Dual-Berettas-Polished-Malachite-Factory-New,steam,1.55,166
2026-01-28T16:30:00+00:00,P2000-Coral-Halftone-Factory-New,steam,0.81,126
2026-01-28T16:49:25.255686+00:00,AK47-Redline-FT,steam,48.62,80
2026-01-28T16:30:00+00:00,UMP-45-K-O-Factory-Field-Tested,steam,7.17,223
2026-01-28T16:30:00+00:00,P2000-Grip-Tape-Field-Tested,steam,1.63,466
2026-01-28T16:49:27.278432+00:00,AWP-Asiimov-BS,steam,112.14,16
2026-01-28T16:30:00+00:00,Music-Kit-The-Verkkars-EZ4ENCE,steam,5.44,286
2026-01-28T16:49:28.362388+00:00,Danger-Zone-Case,steam,2.04,8430
2026-01-28T16:30:00+00:00,Survival-Knife-Rust-Coat-Battle-Scarred,steam,74.0,20
2026-01-28T16:49:29.402132+00:00,Fracture-Case,steam,0.71,44967
2026-01-28T16:30:00+00:00,Sawed-Off-Kiss-Love-Field-Tested,steam,5.75,218
2026-01-28T16:49:30.574562+00:00,Dreams-Nightmares-Case,steam,1.64,100957
2026-01-28T16:49:47.878740+00:00,P2000-Coral-Halftone-Factory-New,steam,0.81,126
2026-01-28T16:51:36.462777+00:00,Dual-Berettas-Polished-Malachite-Factory-New,steam,1.55,166
2026-01-28T16:51:37.520305+00:00,P2000-Coral-Halftone-Factory-New,steam,0.81,126
2026-01-28T17:04:52.374020+00:00,Dual-Berettas-Polished-Malachite-Factory-New,steam,1.55,166
2026-01-28T17:04:53.413061+00:00,P2000-Coral-Halftone-Factory-New,steam,0.81,126
2026-01-28T17:05:03.222283+00:00,Safecracker-Voltzmann-The-Professionals,steam,36.12,50
2026-01-28T17:08:15.941574+00:00,Glove-Case,steam,20.76,1823
2026-01-28T17:00:00+00:00,AK-47-Ice-Coaled-Field-Tested,steam,7.85,890
2026-01-28T17:37:15.640086+00:00,Revolution-Case,steam,0.36,92505
2026-01-28T17:40:53.631457+00:00,Sealed-Genesis-Terminal,steam,0.34,59265
2026-01-28T17:50:07.831655+00:00,M4A1-S-Glitched-Paint-Factory-New,steam,28.48,55
2026-01-28T17:57:24.973503+00:00,Revolver-Case,steam,3.79,1654
2026-01-28T18:06:16.501510+00:00,Fracture-Case,steam,0.71,45459
2026-01-28T18:08:12.665120+00:00,Glove-Case,steam,20.61,1793
2026-01-28T18:15:26.126430+00:00,AK47-Redline-FT,steam,47.09,84
2026-01-28T18:15:37.597253+00:00,AK-47-Ice-Coaled-Field-Tested,steam,7.38,896
